trading day, Stock price
0,77.84
1,77.5827
2,76.5946
3,76.6084
4,77.2405
5,76.7271
6,76.3665
7,74.3177
8,73.3632
9,73.1566
10,74.1825
11,74.8363
12,74.2001
13,73.9003
14,74.7474
15,75.0899
16,75.8241
17,76.7335
18,77.3664
19,77.3105
20,78.4385
21,77.4236
22,75.6741
23,75.1873
24,75.5813
25,75.5289
26,75.4299
27,74.6692
28,74.4752
29,74.8787
30,74.328
31,75.7327
32,75.1235
33,73.9834
34,73.7208
35,74.5296
36,73.6214
37,72.9329
38,72.9555
39,73.5263
40,73.6085
41,73.285
42,73.1537
43,73.0477
44,73.0122
45,74.552
46,75.8988
47,75.9852
48,74.4537
49,74.9427
50,75.727
51,74.5303
52,74.6094
53,74.5115
54,73.1309
55,71.6634
56,72.7121
57,72.8852
58,72.6694
59,72.6285
60,73.3353
61,73.9203
62,73.8915
63,74.8714
64,76.2454
65,77.416
66,77.3336
67,77.1143
68,77.4636
69,78.399
70,78.5692
71,78.3858
72,79.4402
73,78.3432
74,77.042
75,75.7707
76,76.2728
77,76.0696
78,76.6606
79,76.4128
80,76.4659
81,76.3283
82,77.6914
83,78.0034
84,77.4274
85,77.0964
86,77.7424
87,75.9447
88,75.396
89,75.9361
90,76.2412
91,74.9459
92,74.6119
93,74.7735
94,75.8009
95,77.1546
96,76.6124
97,77.1291
98,77.0179
99,76.5806
100,77.7655
101,77.799
102,79.7259
103,80.3866
104,80.5769
105,79.4368
106,79.7696
107,81.2682
108,80.8947
109,80.6013
110,78.9478
111,79.066
112,79.2115
113,80.1488
114,80.1395
115,80.1653
116,80.3352
117,79.2499
118,79.781
119,80.1502
120,79.2023
121,79.6827
122,78.7152
123,77.5524
124,78.589
125,77.785
126,74.5562
127,73.779
128,72.9467
129,72.7213
130,73.2598
131,73.0025
132,74.4324
133,75.7573
134,76.1745
135,77.223
136,77.3099
137,77.8883
138,78.4861
139,78.578
140,79.2928
141,79.0843
142,78.7522
143,80.1662
144,80.0391
145,80.4207
146,79.954
147,81.1242
148,80.879
149,81.1362
150,82.7084
151,85.3763
152,84.6601
153,84.7761
154,84.6036
155,83.5039
156,83.0956
157,81.9395
158,82.4268
159,81.7114
160,84.4195
161,83.8488
162,83.6457
163,83.386
164,83.7214
165,85.4323
166,83.7317
167,84.7163
168,84.9437
169,84.3038
170,85.1333
171,84.3723
172,84.6855
173,85.7286
174,85.8958
175,86.4576
176,86.7902
177,87.9552
178,88.5783
179,87.5609
180,87.8799
181,87.8083
182,88.9486
183,88.1197
184,87.2715
185,88.2953
186,89.1054
187,90.7767
188,89.7864
189,91.2868
190,90.8491
191,89.6515
192,89.2098
193,89.668
194,90.9259
195,90.8289
196,89.5286
197,88.8133
198,88.695
199,87.0506
200,88.0827
201,88.8009
202,87.8326
203,87.6799
204,88.1363
205,87.8848
206,87.7527
207,87.8056
208,87.3386
209,87.4117
210,87.7977
211,88.17
212,89.0868
213,89.9884
214,90.2788
215,90.416
216,88.9683
217,89.0818
218,88.3034
219,87.9799
220,89.0816
221,87.0004
222,86.8155
223,88.3702
224,88.6313
225,89.5672
226,91.0008
227,92.8191
228,93.015
229,92.7713
230,92.0935
231,92.2855
232,90.9521
233,92.3423
234,92.9779
235,92.4134
236,91.8291
237,92.1007
238,92.4953
239,92.7165
240,92.7485
241,93.354
242,93.5637
243,92.5748
244,93.4181
245,94.5824
246,96.096
247,95.7113
248,93.912
249,93.3816
250,93.0659
251,93.6648
252,93.3138
253,92.761
254,94.1798
255,95.0181
256,97.2902
257,96.1974
258,95.3186
259,95.2204
260,95.052
261,95.1324
262,96.7389
263,95.4418
264,96.8894
265,96.8985
266,96.2767
267,95.798
268,94.9578
269,95.9003
270,95.1929
271,95.0169
272,95.2985
273,94.3656
274,93.8239
275,94.4103
276,94.772
277,94.464
278,94.4019
279,92.8267
280,92.5448
281,92.5471
282,93.1653
283,94.2766
284,92.9223
285,91.9527
286,92.3276
287,92.1041
288,91.1849
289,90.3893
290,89.4838
291,88.3856
292,87.9873
293,88.0177
294,89.9077
295,89.7496
296,89.7639
297,88.4167
298,89.6621
299,89.2695
300,89.6725
301,89.4673
302,88.646
303,89.7006
304,89.4529
305,89.1959
306,89.0316
307,89.3229
308,89.0982
309,87.6028
310,88.5048
311,87.356
312,86.3574
313,86.8307
314,86.7734
315,87.4821
316,87.0267
317,88.7309
318,87.1191
319,88.6206
320,88.3309
321,88.6863
322,90.0135
323,89.9302
324,89.9881
325,87.3088
326,88.3603
327,88.1474
328,88.4574
329,86.4483
330,86.0045
331,86.3169
332,85.9904
333,85.4869
334,86.3267
335,87.5759
336,85.4106
337,85.4365
338,85.1671
339,85.2446
340,85.1854
341,85.0503
342,84.799
343,83.8666
344,86.639
345,86.0276
346,86.0972
347,85.2033
348,84.7767
349,84.8888
350,85.0531
351,82.5555
352,82.7419
353,83.9985
354,81.6699
355,81.8601
356,81.9266
357,82.4642
358,82.4769
359,82.0896
360,81.647
361,80.7523
362,79.8931
363,79.9213
364,80.8909
365,80.7708
366,81.1542
367,81.6458
368,81.6961
369,82.2649
370,82.8535
371,82.5065
372,82.4529
373,83.3497
374,83.1752
375,83.8181
376,83.646
377,82.2361
378,81.0681
379,81.2034
380,81.0806
381,82.0589
382,83.4516
383,83.0432
384,82.5594
385,81.4679
386,80.2199
387,81.4971
388,80.7348
389,80.1789
390,80.0045
391,80.2352
392,80.2241
393,79.6991
394,79.7254
395,78.7342
396,79.4282
397,78.7243
398,79.4157
399,79.4789
400,78.7722
401,79.1053
402,79.6436
403,79.7996
404,78.9627
405,79.3797
406,78.0076
407,77.503
408,77.0687
409,76.446
410,77.692
411,77.6707
412,77.851
413,76.1064
414,74.522
415,75.37
416,74.9093
417,74.5078
418,74.5894
419,75.8962
420,75.3832
421,74.674
422,74.0422
423,73.8515
424,73.232
425,74.071
426,73.4517
427,71.9579
428,72.0652
429,71.6823
430,72.1257
431,72.3967
432,72.6752
433,71.7085
434,70.9142
435,70.7078
436,70.5853
437,70.1909
438,70.22
439,70.0725
440,71.3086
441,70.1829
442,69.6536
443,68.9112
